argyle_coat,Visuals / Attire / Clothing Items / Legwear
snake_tail,Visuals / Appearance / Limbs & Appendages / Tail / Tail Type
sailor_moon_redraw_challenge_(meme),Media & Copyrights / Characters / By Franchise / Sailor Moon
basketball_uniform,Visuals / Attire / Clothing Items / Footwear / Sneakers
vending_cart,Content / Objects / Technology & Electronics / Other Tech
kanohi_(bionicle),Visuals / Appearance / Head / Face / Facial Markings & Accessories
1koma,Media & Copyrights / Characters / By Franchise / Kantai Collection
adjusting_hood,Visuals / Attire / Clothing Items / Headwear / Hoods & Veils
vest_lift,Visuals / Attire / Clothing Items / Headwear / Hoods & Veils
severed_hair,Visuals / Appearance / Head / Hair / Hair Style / Tied Styles / Other Tied
after-school_sweets_club_(blue_archive),Metadata / Food & Cuisine / Food Types / Snacks & Desserts
multiple_wielding,Content / Objects / Weapons / Melee Weapons / Bladed
white_lips,Visuals / Appearance / Head / Eyes / Sclera
character-themed_food,Content / Objects / Food & Drink / Food Types
unworn_goggles,Visuals / Attire / Clothing Items / Headwear / Helmets
kirigami,Visuals / Artistic License / Major Transformations / Form Change
lifebuoy_ornament,Content / Objects / Everyday Objects / Personal Items
holding_saucer,Content / Objects / Everyday Objects / Containers
asymmetrical_legwear,Visuals / Attire / Clothing Items / Legwear
angel's_24_uniform_(blue_archive),Media & Copyrights / Characters / By Franchise / Azur Lane
in_cage,Content / Concepts & Themes / Settings & Locations / Man-Made Environments / Enclosures
drawing_on_another's_face,Visuals / Appearance / Head / Face / Facial Markings & Accessories
full-face_blush,Visuals / Appearance / Head / Face / Facial Features
brown_sclera,Visuals / Appearance / Head / Eyes / Sclera
parasol,Visuals / Composition & Style / Environmental Conditions / Weather Phenomena
name_connection,Content / Concepts & Themes / Abstract Concepts / Social Concepts / Human Relations
soy_sauce_bottle,Metadata / Food & Cuisine / Food Types / Condiments & Sauces
thumbs_down,Visuals / Appearance / Head / Face / Facial Expressions / Negative
bed_invitation,Content / Concepts & Themes / Settings & Locations / Interior Spaces / Room Types
cow,Content / Living Things / Animals / Mammals
turret,Content / Objects / Armor & Shields / Modern Armor
raised_fist,Visuals / Actions & Poses / Gestures / One-Hand Gestures
amarr_empire_(eve_online),Media & Copyrights / Franchises & Series / By Name / Azur Lane
mother_and_child,Content / Living Things / People / Relationships
pumps,Metadata / Miscellaneous Items / Specialized Equipment / Special Devices
battoujutsu_stance,Visuals / Actions & Poses / Posture / Basic Positions
lace-trimmed_panties,Content / Sexual Content / Sexual Attire & Objects / Lingerie
tsuka-ito,Visuals / Appearance / Head / Hair / Hair Style / Tied Styles / Twintails
short_over_long_sleeves,Visuals / Appearance / Head / Hair / Hair Style / Short Styles
mixed_martial_arts,Media & Copyrights / Franchises & Series / By Name / Street Fighter
red_background,Visuals / Composition & Style / Backgrounds / Color Backgrounds
head_on_another's_shoulder,Visuals / Actions & Poses / Posture / Body Inclination
dreaming,Content / Concepts & Themes / Abstract Concepts / Magic & Fantasy
millennium_science_school_logo,Content / Concepts & Themes / Abstract Concepts / Science & Logic
hair_over_one_breast,Visuals / Appearance / Head / Hair / Hair Features
diamond_cutout,Visuals / Composition & Style / Colors / Partial Coloring
hands_on_lap,Visuals / Actions & Poses / Gestures / One-Hand Gestures
body_switch,Media & Copyrights / Characters / By Type / Genderswap Character
makizushi,Metadata / Food & Cuisine / Food Types / Dishes & Prepared Food
against_fence,Content / Concepts & Themes / Settings & Locations / Man-Made Environments / Enclosures
