import time: self [us] | cumulative | imported package
import time:        97 |         97 | winreg
import time:       166 |        166 |   _io
import time:        24 |         24 |   marshal
import time:       121 |        121 |   nt
import time:       235 |        545 | _frozen_importlib_external
import time:       631 |        631 |   time
import time:        81 |        712 | zipimport
import time:        31 |         31 |     _codecs
import time:       207 |        238 |   codecs
import time:       765 |        765 |   encodings.aliases
import time:      1188 |       2190 | encodings
import time:       394 |        394 | encodings.utf_8
import time:        37 |         37 |   _codecs_jp
import time:        34 |         34 |   _multibytecodec
import time:       577 |        647 | encodings.cp932
import time:        37 |         37 | _signal
import time:        22 |         22 |     _abc
import time:        87 |        108 |   abc
import time:        91 |        199 | io
import time:        35 |         35 |       _stat
import time:        38 |         72 |     stat
import time:       462 |        462 |     _collections_abc
import time:        28 |         28 |       genericpath
import time:        60 |         60 |       _winapi
import time:        51 |        138 |     ntpath
import time:       162 |        833 |   os
import time:        45 |         45 |   _sitebuiltins
import time:       453 |        453 |   encodings.utf_8_sig
import time:      1453 |       1453 |   _virtualenv
import time:       783 |        783 |   _distutils_hack
import time:       448 |        448 |   sitecustomize
import time:      2611 |       6624 | site
import time:       404 |        404 |         posix
import time:       121 |        525 |       posixpath
import time:       591 |        591 |           types
import time:       102 |        102 |             _operator
import time:       538 |        640 |           operator
import time:       137 |        137 |               itertools
import time:       412 |        412 |               keyword
import time:       412 |        412 |               reprlib
import time:        59 |         59 |               _collections
import time:       914 |       1931 |             collections
import time:        53 |         53 |             _functools
import time:       750 |       2733 |           functools
import time:      1270 |       5232 |         enum
import time:        60 |         60 |           _sre
import time:       364 |        364 |             re._constants
import time:       566 |        930 |           re._parser
import time:       283 |        283 |           re._casefix
import time:       608 |       1879 |         re._compiler
import time:       574 |        574 |         copyreg
import time:       687 |       8371 |       re
import time:       711 |       9606 |     fnmatch
import time:      1846 |       1846 |     warnings
import time:        68 |         68 |     errno
import time:       833 |        833 |       urllib
import time:        58 |         58 |       math
import time:      1456 |       1456 |       ipaddress
import time:      2008 |       4353 |     urllib.parse
import time:      1164 |      17035 |   pathlib
import time:      1005 |       1005 |       __future__
import time:       649 |        649 |       collections.abc
import time:       118 |        118 |         _string
import time:      1188 |       1305 |       string
import time:      1028 |       1028 |         contextlib
import time:        39 |         39 |         _typing
import time:      2215 |       3281 |       typing
import time:        95 |         95 |           _datetime
import time:       768 |        863 |         datetime
import time:       613 |        613 |         tomllib._types
import time:      1284 |       2759 |       tomllib._re
import time:      1818 |      10816 |     tomllib._parser
import time:       862 |      11677 |   tomllib
import time:       987 |        987 |         PIL._version
import time:      1210 |       2196 |       PIL
import time:      2467 |       2467 |       PIL.ExifTags
import time:        46 |         46 |         atexit
import time:       793 |        793 |                 token
import time:        37 |         37 |                 _tokenize
import time:      1129 |       1957 |               tokenize
import time:       632 |       2589 |             linecache
import time:      1240 |       1240 |             textwrap
import time:       945 |       4773 |           traceback
import time:       492 |        492 |             _weakrefset
import time:       907 |       1399 |           weakref
import time:       767 |        767 |           threading
import time:      1838 |       8775 |         logging
import time:        69 |         69 |           _struct
import time:       474 |        542 |         struct
import time:        75 |         75 |             zlib
import time:       738 |        738 |               _compression
import time:      1368 |       1368 |               _bz2
import time:       877 |       2981 |             bz2
import time:       696 |        696 |               _lzma
import time:       716 |       1412 |             lzma
import time:      1359 |       5826 |           shutil
import time:        36 |         36 |               _bisect
import time:       724 |        760 |             bisect
import time:        25 |         25 |             _random
import time:        26 |         26 |             _sha2
import time:       889 |       1700 |           random
import time:      1175 |       8700 |         tempfile
import time:       883 |        883 |         PIL.ImageMode
import time:      1636 |       1636 |         PIL.TiffTags
import time:       768 |        768 |         PIL._binary
import time:       649 |        649 |         PIL._deprecate
import time:       688 |        688 |         PIL._util
import time:       397 |        397 |         defusedxml
import time:      2351 |       2351 |         PIL._imaging
import time:      2051 |      27481 |       PIL.Image
import time:      1133 |       1133 |       PIL.ImageFile
import time:       844 |        844 |       pillow_avif._avif
import time:       808 |        808 |         PIL._avif
import time:       762 |       1570 |       PIL.AvifImagePlugin
import time:       985 |      36673 |     pillow_avif.AvifImagePlugin
import time:      1147 |      37820 |   pillow_avif
import time:      1604 |       1604 |       dotenv.parser
import time:       950 |        950 |       dotenv.variables
import time:      1383 |       3936 |     dotenv.main
import time:      1069 |       5005 |   dotenv
import time:        69 |         69 |           _ast
import time:      1409 |       1478 |         ast
import time:        40 |         40 |             _opcode
import time:       859 |        898 |           opcode
import time:      1029 |       1926 |         dis
import time:       821 |        821 |           importlib
import time:        53 |        873 |         importlib.machinery
import time:      2073 |       6349 |       inspect
import time:       889 |        889 |         cmd
import time:       965 |        965 |         bdb
import time:       656 |        656 |           codeop
import time:       692 |       1347 |         code
import time:       806 |        806 |         glob
import time:       682 |        682 |             copy
import time:       957 |       1638 |           dataclasses
import time:       889 |       2526 |         pprint
import time:      1007 |       1007 |         signal
import time:      1348 |       8885 |       pdb
import time:       750 |        750 |         _uuid
import time:       912 |       1662 |       uuid
import time:      1421 |       1421 |               litestar._asgi.routing_trie.types
import time:       778 |        778 |               litestar._asgi.utils
import time:      1174 |       1174 |                     litestar.enums
import time:      1811 |       2985 |                   litestar.types.asgi_types
import time:      2226 |       2226 |                       _socket
import time:      2246 |       4471 |                     typing_extensions
import time:       719 |       5190 |                   litestar.types.builtin_types
import time:       777 |        777 |                   litestar.types.callable_types
import time:       705 |        705 |                   litestar.types.composite_types
import time:       672 |        672 |                   litestar.types.debugger_types
import time:       726 |        726 |                   litestar.types.empty
import time:       984 |        984 |                   litestar.types.file_types
import time:       946 |        946 |                   litestar.types.helper_types
import time:      1100 |       1100 |                         litestar.utils.deprecation
import time:      1412 |       1412 |                           litestar.utils.typing
import time:       808 |       2219 |                         litestar.utils.helpers
import time:       770 |        770 |                         litestar.utils.path
import time:       860 |        860 |                                 msgspec._utils
import time:      1973 |       1973 |                                     numbers
import time:      1077 |       3049 |                                   _decimal
import time:       667 |       3716 |                                 decimal
import time:      1410 |       5985 |                               msgspec._core
import time:       829 |        829 |                                 msgspec._typing_utils
import time:      1372 |       2201 |                               msgspec.inspect
import time:       820 |        820 |                                 msgspec._json_schema
import time:       854 |       1674 |                               msgspec.json
import time:       705 |        705 |                               msgspec.msgpack
import time:      1053 |       1053 |                               msgspec.structs
import time:       730 |        730 |                               msgspec.toml
import time:       796 |        796 |                               msgspec.yaml
import time:       698 |        698 |                               msgspec._version
import time:      1394 |      15233 |                             msgspec
import time:       736 |      15968 |                           litestar.constants
import time:       928 |      16896 |                         litestar.utils.predicates
import time:      1286 |       1286 |                                       http
import time:      1588 |       2874 |                                     http.cookies
import time:      1797 |       4671 |                                   litestar.datastructures.cookie
import time:      1904 |       1904 |                                       multidict._abc
import time:      2067 |       2067 |                                           _wmi
import time:       910 |       2977 |                                         platform
import time:      1066 |       1066 |                                         multidict._multidict
import time:       993 |       5035 |                                       multidict._compat
import time:      1784 |       8722 |                                     multidict
import time:       928 |        928 |                                           importlib._abc
import time:        99 |       1026 |                                         importlib.util
import time:       814 |        814 |                                           wsgiref
import time:       871 |       1685 |                                         wsgiref.headers
import time:      3053 |       5764 |                                       multipart
import time:       719 |        719 |                                                 concurrent
import time:       971 |        971 |                                                 concurrent.futures._base
import time:       792 |       2481 |                                               concurrent.futures
import time:        49 |         49 |                                                 _heapq
import time:       702 |        751 |                                               heapq
import time:       738 |        738 |                                                   select
import time:       802 |       1540 |                                                 selectors
import time:      1197 |       2736 |                                               socket
import time:        57 |         57 |                                                   _locale
import time:      1392 |       1448 |                                                 locale
import time:       408 |        408 |                                                 fcntl
import time:       106 |        106 |                                                 msvcrt
import time:      1284 |       3246 |                                               subprocess
import time:      2012 |       2012 |                                                 _ssl
import time:       198 |        198 |                                                   binascii
import time:       872 |       1070 |                                                 base64
import time:      2277 |       5359 |                                               ssl
import time:       700 |        700 |                                               asyncio.constants
import time:       620 |        620 |                                               asyncio.coroutines
import time:        46 |         46 |                                                   _contextvars
import time:       690 |        735 |                                                 contextvars
import time:       616 |        616 |                                                 asyncio.format_helpers
import time:       588 |        588 |                                                   asyncio.base_futures
import time:       632 |        632 |                                                   asyncio.exceptions
import time:       613 |        613 |                                                   asyncio.base_tasks
import time:       887 |       2719 |                                                 _asyncio
import time:       815 |       4883 |                                               asyncio.events
import time:       634 |        634 |                                               asyncio.futures
import time:       618 |        618 |                                               asyncio.protocols
